comprimento_msg,contem_exclamacao,palavras_negativas,label
56,1,4,1
31,1,2,0
121,0,0,0
130,1,0,1
100,1,2,0
27,1,2,0
73,0,0,0
79,1,4,1
68,1,3,1
82,1,2,0
101,1,3,1
88,0,3,1
47,0,2,0
132,0,3,1
57,1,3,1
80,1,3,1
77,1,4,1
61,1,2,0
107,0,1,0
94,1,4,1
21,1,1,0
58,0,3,1
49,0,0,0
105,1,1,1
117,0,1,0
93,1,2,0
21,0,1,0
134,1,4,1
38,0,0,0
62,0,4,1
145,1,4,1
75,0,2,0
111,0,2,0
63,1,0,0
61,1,1,0
87,0,2,0
96,1,2,0
76,0,3,1
52,0,2,0
88,0,3,1
22,0,2,0
141,0,1,0
63,1,0,0
75,1,2,0
77,0,2,0
149,0,2,0
80,0,1,0
123,0,2,0
30,1,1,0
125,1,3,1
80,1,3,1
98,0,1,0
41,0,1,0
66,0,4,1
40,1,3,1
139,0,0,0
128,1,3,1
86,0,0,0
33,1,2,0
41,0,2,0
100,0,3,1
55,1,1,0
132,0,3,1
50,1,4,1
34,0,2,0
148,0,1,0
106,0,1,0
143,0,4,1
108,0,0,0
57,1,1,0
54,0,4,1
33,0,2,0
42,1,1,0
59,0,0,0
12,0,4,1
35,1,4,1
21,0,4,1
94,0,2,0
12,1,4,1
76,0,2,0
102,0,0,0
52,0,4,1
86,1,2,0
77,0,0,0
101,0,4,1
91,1,4,1
62,1,3,1
117,0,1,0
26,1,2,0
63,1,0,0
56,1,4,1
41,0,4,1
23,0,3,1
43,0,1,0
98,1,2,0
119,0,0,0
94,0,0,0
106,1,0,1
84,0,2,0
133,1,1,1
121,1,1,1
31,1,0,0
148,1,4,1
88,1,3,1
147,1,1,1
93,1,1,0
59,1,0,0
59,0,4,1
70,0,0,0
33,1,2,0
26,0,1,0
38,0,1,0
118,1,2,1
64,0,0,0
53,1,0,0
66,1,3,1
55,1,3,1
38,1,1,0
45,0,1,0
36,1,2,0
94,1,3,1
15,0,0,0
70,0,1,0
22,1,4,1
71,1,3,1
17,1,2,0
92,0,3,1
135,0,4,1
123,1,1,1
88,0,4,1
108,1,3,1
47,1,0,0
20,0,3,1
137,0,2,0
65,1,0,0
79,1,3,1
106,0,4,1
77,0,2,0
149,0,3,1
61,0,1,0
100,0,4,1
38,1,2,0
45,1,4,1
106,0,3,1
27,1,4,1
138,0,2,0
69,0,4,1
95,0,2,0
76,1,4,1
69,0,2,0
52,1,3,1
85,0,3,1
110,0,0,0
36,0,2,0
137,1,2,1
94,1,2,0
140,1,0,1
88,1,4,1
78,1,0,0
114,1,2,1
30,0,0,0
86,1,2,0
82,1,4,1
111,0,3,1
27,1,4,1
128,0,4,1
116,1,2,1
140,0,4,1
112,1,0,1
131,1,1,1
126,0,0,0
21,0,1,0
59,0,3,1
94,0,4,1
128,1,2,1
25,1,1,0
102,1,4,1
117,0,1,0
59,0,3,1
24,1,1,0
35,1,3,1
120,0,2,0
126,0,0,0
84,0,1,0
45,1,0,0
110,1,4,1
115,0,0,0
85,1,3,1
141,0,4,1
83,0,3,1
41,0,0,0
114,0,1,0
110,0,4,1
73,1,0,0
83,0,4,1
31,1,3,1
147,0,3,1
49,0,0,0
58,1,3,1
123,0,4,1
